Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
309;C(309, 26, 62, 147);7;4.55195;151915732;927
309;C(309, 26, 85, 107);7;4.55195;151915732;927
309;C(309, 27, 35, 146);7;4.55195;151915732;927
309;C(309, 27, 43, 68);7;4.55195;151915732;927
309;C(309, 27, 73, 79);7;4.55195;151915732;927
309;C(309, 27, 127, 133);7;4.55195;151915732;927
309;C(309, 28, 43, 87);7;4.55195;151915732;927
309;C(309, 28, 44, 139);7;4.55195;151915732;927
309;C(309, 28, 52, 74);7;4.55195;151915732;927
309;C(309, 28, 55, 102);7;4.55195;151915732;927
309;C(309, 28, 68, 123);7;4.55195;151915732;927
309;C(309, 28, 79, 80);7;4.55195;151915732;927
309;C(309, 28, 111, 121);7;4.55195;151915732;927
309;C(309, 29, 57, 121);7;4.55195;151915732;927
309;C(309, 29, 68, 93);7;4.55195;151915732;927
309;C(309, 29, 98, 122);7;4.55195;151915732;927
309;C(309, 29, 127, 137);7;4.55195;151915732;927
309;C(309, 29, 131, 154);7;4.55195;151915732;927
309;C(309, 30, 61, 104);7;4.55195;151915732;927
309;C(309, 31, 56, 88);7;4.55195;151915732;927
309;C(309, 31, 94, 135);7;4.55195;151915732;927
309;C(309, 31, 104, 119);7;4.55195;151915732;927
309;C(309, 31, 122, 137);7;4.55195;151915732;927
309;C(309, 31, 145, 153);7;4.55195;151915732;927
309;C(309, 32, 36, 143);7;4.55195;151915732;927
309;C(309, 32, 38, 106);7;4.55195;151915732;927
309;C(309, 32, 50, 138);7;4.55195;151915732;927
309;C(309, 32, 60, 107);7;4.55195;151915732;927
309;C(309, 32, 73, 92);7;4.55195;151915732;927
309;C(309, 33, 64, 100);7;4.55195;151915732;927
309;C(309, 33, 71, 98);7;4.55195;151915732;927
309;C(309, 33, 106, 142);7;4.55195;151915732;927
309;C(309, 34, 39, 94);7;4.55195;151915732;927
309;C(309, 34, 53, 118);7;4.55195;151915732;927
309;C(309, 34, 74, 79);7;4.55195;151915732;927
309;C(309, 34, 108, 140);7;4.55195;151915732;927
309;C(309, 34, 133, 141);7;4.55195;151915732;927
309;C(309, 35, 55, 58);7;4.55195;151915732;927
309;C(309, 35, 62, 65);7;4.55195;151915732;927
309;C(309, 35, 74, 93);7;4.55195;151915732;927
309;C(309, 35, 78, 85);7;4.55195;151915732;927
309;C(309, 35, 100, 133);7;4.55195;151915732;927
309;C(309, 35, 123, 131);7;4.55195;151915732;927
309;C(309, 36, 40, 71);7;4.55195;151915732;927
309;C(309, 36, 80, 125);7;4.55195;151915732;927
309;C(309, 37, 63, 116);7;4.55195;151915732;927
309;C(309, 37, 108, 137);7;4.55195;151915732;927
